"No","Lokasi","Meninggal","Hilang","Terluka","Rumah Rusak"
"1","Kec. Sukamakmur Ds. Sukawangi","1","1","1","2"
"2","Kel. Sumberjo Kel.  Pakis Ling. Rowo Kel.  Sobo Ling. Wonosari","1","1","1","1"
"3","Kec. Cicurug Ds. Purwasari","1","1","4","1"
"4","Kec. Baturaja   Ds. Terusan","1","1","1","1"
"5","Kec. Tamansari Ds. Tamansari Kec. Leuwiliang Ds. Karyasari","1","1","1","3"
"6","Kec. Rumbai Kel. Palas Kab. Indragiri Hulu Kec. Rengat Barat Ds. Air Jernih","1","1","1","1"
"7","Kec. Rancabungur Ds. Bantar sari","1","1","1","2"
"8","Kec. Cibinong Kel. Pabuaran Mekar","1","1","1","4"
"9","Kec.Jekan raya Kel. Bukit tunggal","1","1","1","1"
"10","Kec. Sukaraja Ds. Gunung Geulis","1","1","1","2"
"11","Ds. Kalong Liud Kamp. Babakan Liud","1","1","1","2"
"12","Kec. Pangkalan Baru  Ds. Padang Baru","1","1","1","1"
"13","Kec. Penajam Ds. Sungai Parit","1","1","1","1"
"14","Kec. Lintang Kanan  Ds. Lubukcik","1","1","1","3"
"15","Kec. Cibeber, Desa Cibakor, Kampung. Babakan Cingkeruk","1","1","1","4"
"16","Kec. Grogol, Kel. Rawa Ayum","1","1","1","4"
"17","Kec. Timang Gajah, Desa. Lampahan Timur Jembatan Alur Relem","1","1","1","2"
"18","Kec. Cijeruk, Desa. Cijeruk","1","1","1","2"
"19","Kec. Jangka Ds. Kuala Ceurape","1","1","1","2"
"20","Kec. Padarincang Ds. Barubug Kamp. Cikolelet","1","1","1","2"
"21","Kec. Meliputi Kec. LubukPakam Ds. PasarMelintang Kec. PantaiLabu Ds. Durian Ds. KubahSentang Kec. TanjungMorawa Ds. Wonosari Kec. BatangKuis Ds. Sena Ds. TumpatanNibung Kec. PercutSei Tuan Ds. Amplas Ds. Sei Rotan","1","1","4","4"
"22","Kec. Majalaya Ds. Bojong Kec. Margahayu Kec. Solokan Jeruk","1","1","3","4"
"23","Kec. Bontang Barat Kel. Kanaan","1","1","1","1"
"24","Kec. Bogor Barat Kel. Sindang Barang","1","1","1","1"
"25","Kec. Bogor Selatan Kel. Batutulis","1","1","2","3"
"26","Kec. Cigombong, Desa. Ciadeg","1","1","1","2"
"27","Kec. Cigombong Ds. Ciadeg Kamp. Nagrog RT. 01 / 05","1","1","1","2"
"28","Kec. Mangkubumi Kel. Linggajaya","1","1","2","2"
"29","Kec. Cijeungjing Ds. Pamalayan  Kec. Ciamis Ds. Ciamis","1","1","1","3"
"30","Kec. Ciomas Ds. Ciomas Rahayu Kamp. Villa Ciomas RT. 02/13 Kamp. Selahuni RT. 03/06","1","1","1","2"
"31","Kec. Sukadana Ds. Margaharja","1","1","1","1"
"32","Kec. Cipaku, Ds. Mekarsari Kec. Tambaksari, Ds. Kadupandak, Ds. Karangpaningal, Dsn. Walahar","1","1","1","4"
"33","Kec. Bayongbong Ds. Mekarsari","1","1","1","1"
"34","Kec. Padakembang Ds. Padakembang","1","1","1","3"
"35","Kec. Singaparna Ds. Singasari","1","1","1","1"
"36","Kec. Cijeruk Ds. Cipicung","1","1","1","2"
"37","Kec. Cibinong Des. Ciburuy Kec. Cigombong Ds. Ciburuy","1","1","1","3"
"38","Kec. Cireunghas Ds. Cikurutug","1","1","4","2"
"39","Kec. Purbaratu Ds. Sukanagara","1","1","1","2"
"40","Kec.  Sukaraja  Ds.  Selawangi Kec. Gununguruh Ds.  Gununguruh Kec. Cibadak Ds.  Sekarwangi Kec. Cireungas Ds.  Cikurutug Kec. Cisaat Ds. Cibatu  Kec. Kebonpedes   Ds. Kebonpedes Kec. Caringin  Ds. Seuseupan","1","1","4","4"
"41","Kec. Binjai Utara : Kel. Jati Makmur, Kel. Pahlawan â€¢Kec. Binjai Timur : Kel. Sumber Mulyorejo","1","1","1","4"
